编号,分类,器件名,规格/型号,值,封装/尺寸,数量,单位,单价(CNY),总价(CNY),立创商城编号,替代型号,备注
R4,R5,电阻,10KΩ 3296多圈,SWR桥平衡校准,FWD/REV各1,3296W顶调,2,只,2.0,4.0,C35390,,
R6-R13,电阻,200Ω 1% 0805,检波负载(4只并=50Ω),FWD/REV各4只,0805,8,只,0.2,1.6,,,并联构成50Ω精密终端
R14,电阻,1KΩ 0805,LED限流,,0805,1,只,0.1,0.1,,,
R_bleed,电阻,2.2MΩ/2W/3KV,天线静电泄放,金属釉膜无感,轴向,1,只,3.0,3.0,淘宝,欧姆ite MOX系列,严禁用绕线电阻(有电感!)

=== 普通电容 ===
C_block1,2,电容,10nF/1KV C0G,RF隔直/耦合,,1206,2,只,2.5,5.0,C1714 (估算),,并联降ESR/ESL
C_mclr,电容,100nF/50V X7R,MCLR滤波,,0805,1,只,0.1,0.1,,,
C_bypass,电容,100nF/50V X7R,电源旁路,,0805,5,只,0.1,0.5,,,
C_bulk1,2,电容,10μF/25V 电解,5V BULK滤波,,SMD/TH,2,只,0.5,1.0,,,
C_bulk3,4,电容,47μF/25V 电解,12V BULK滤波,,SMD/TH,2,只,1.0,2.0,,,
C_filter1,2,电容,10nF/50V NPO,SWR检波滤波,,0805,2,只,0.3,0.6,,,

=== 保护元件 ===
GDT1,气体放电管,GTCR37-900M-R10,90V DC击穿 10kA 8/20μs,避雷,径向/贴片,1,只,8.0,8.0,淘宝,Bourns 2053-09-SM-RPLF,Littelfuse/Citel/Bourns均可

=== 连接器/端子 ===
J1,同轴座,SO-239 M座,法兰安装 PTFE绝缘,射频输入,TH 面板,1,只,8.0,8.0,淘宝,AmPHENOL 83-1R-1002,需配4颗M3螺丝螺母
J2,J3,接线柱,304不锈钢M5螺丝,螺栓+螺母+PTFE绝缘垫片+不锈钢垫圈,天线/地网,TH 面板,2,套,5.0,10.0,淘宝,,必须304不锈钢!严禁铁镀锌
,ICSP排针,5-pin 2.54mm直针,编程接口,,TH,1,只,1.0,1.0,,,
,PCB,140×90mm FR4 双面 1.6mm 1oz Cu,打样5片,紫色/绿色/蓝色,JLCPCB/嘉立创,5,片,5.0,25.0,嘉立创钜琅,,含2.5mm×115mm物理开槽

=== 外壳与辅料 ===
,压铸铝盒,IP66防水 160×110×70mm,GK-B型 铸铝防水盒,户外防护,160×110×70mm,1,个,35.0,35.0,淘宝,Altech 091616080,底部钻1.5mm呼吸孔
,电缆防水接头,PG9金属防水接头,适用4-8mm电缆,M座出线,M16×1.5,1,只,3.0,3.0,淘宝,,
,电缆防水接头,PG7金属防水接头,适用3-6mm电缆,天线/地线出线,M12×1.5,2,只,2.0,4.0,淘宝,,
,三防漆,CRC/Electrolube APL400,丙烯酸自喷罐 200ml,PCB防潮绝缘,罐,1,罐,15.0,15.0,淘宝,道康宁3140 RTV硅胶,喷涂B区2遍
,RTV硅胶,704硅橡胶 高温型,白色/半透明,磁环固定+线圈防振,45g管,1,支,5.0,5.0,淘宝,道康宁3145,
,尼龙扎带,4.8×200mm 耐候型,黑色UV抗紫外线,固定T200-2双叠磁环,,4,根,0.2,0.8,淘宝,,严禁用金属扎带!
,硅胶垫片,2mm厚硅胶片,≈50×50mm,磁环下方缓冲,,1,片,1.0,1.0,淘宝,,
,干燥剂,5g硅胶干燥剂包,变色指示型,盒内除湿,,4,包,0.5,2.0,淘宝,,3个月更换
,不锈钢螺丝,M3×10mm 304不锈钢+螺母,PCB固定+继电器固定,,10,套,0.3,3.0,淘宝,,
,铜编织带,10mm² 裸铜编织带,≈100mm长,铝盒外壳接地跨接,,1,段,2.0,2.0,淘宝,,

=== 选配/调试工具 ===
,假负载,50Ω/150W RF假负载,用于调谐器出厂校准,N公头,同轴,1,个,25.0,25.0,淘宝,,校准必备
,Gore-Tex贴片,防水透气膜贴片,≈φ8mm,呼吸孔保护,,1,片,2.0,2.0,淘宝,,

=============================================================
总计 (不含选配工具),,,,,,,≈375.0,CNY,,
选配工具,,,,,,,27.0,CNY,,
=============================================================

注：
1. 价格以2026年6月零售参考为准，汇率、库存波动可能导致变化。
2. 立创商城编号仅供参考，下单前请确认库存和封装。
3. 高压电容(NPO/3KV)是最关键的物料，必须购买正品KEMET/AVX/Murata/TDK。假冒/次品X7R贴标NPO会导致灾难性失效。
4. T200-2磁芯可从Amidon官网、淘宝"火腿D某"或eBay购买。双叠是指两个磁环叠在一起作为一个磁芯使用(用同一组初次级贯穿绕线)。
5. 继电器G5Q-14的宏发替代型号为HF32F-G-12-HS，立创编号C29203，性能接近且价格更低。
